Municipios;Sexo;Periodo;Total
28001 Acebeda, La;Total;2024;68
28001 Acebeda, La;Total;2023;67
28001 Acebeda, La;Total;2022;62
28001 Acebeda, La;Total;2021;55
28001 Acebeda, La;Total;2020;68
28001 Acebeda, La;Total;2019;84
28001 Acebeda, La;Total;2018;65
28001 Acebeda, La;Total;2017;66
28001 Acebeda, La;Total;2016;66
28001 Acebeda, La;Total;2015;65
28002 Ajalvir;Total;2024;4.863
28002 Ajalvir;Total;2023;4.779
28002 Ajalvir;Total;2022;4.751
28002 Ajalvir;Total;2021;4.676
28002 Ajalvir;Total;2020;4.721
28002 Ajalvir;Total;2019;4.712
28002 Ajalvir;Total;2018;4.559
28002 Ajalvir;Total;2017;4.455
28002 Ajalvir;Total;2016;4.440
28002 Ajalvir;Total;2015;4.343
28003 Alameda del Valle;Total;2024;255
28003 Alameda del Valle;Total;2023;274
28003 Alameda del Valle;Total;2022;241
28003 Alameda del Valle;Total;2021;246
28003 Alameda del Valle;Total;2020;204
28003 Alameda del Valle;Total;2019;200
28003 Alameda del Valle;Total;2018;195
28003 Alameda del Valle;Total;2017;199
28003 Alameda del Valle;Total;2016;208
28003 Alameda del Valle;Total;2015;217
28004 Álamo, El;Total;2024;10.430
28004 Álamo, El;Total;2023;10.322
28004 Álamo, El;Total;2022;10.123
28004 Álamo, El;Total;2021;9.908
28004 Álamo, El;Total;2020;9.862
28004 Álamo, El;Total;2019;9.470
28004 Álamo, El;Total;2018;9.353
28004 Álamo, El;Total;2017;9.149
28004 Álamo, El;Total;2016;9.017
28004 Álamo, El;Total;2015;8.965
28005 Alcalá de Henares;Total;2024;200.702
28005 Alcalá de Henares;Total;2023;199.184
28005 Alcalá de Henares;Total;2022;196.888
28005 Alcalá de Henares;Total;2021;195.982
28005 Alcalá de Henares;Total;2020;197.562
28005 Alcalá de Henares;Total;2019;195.649
28005 Alcalá de Henares;Total;2018;193.751
28005 Alcalá de Henares;Total;2017;194.310
28005 Alcalá de Henares;Total;2016;195.907
28005 Alcalá de Henares;Total;2015;198.750
28006 Alcobendas;Total;2024;121.373
28006 Alcobendas;Total;2023;119.416
28006 Alcobendas;Total;2022;117.041
28006 Alcobendas;Total;2021;116.589
28006 Alcobendas;Total;2020;118.417
28006 Alcobendas;Total;2019;117.040
28006 Alcobendas;Total;2018;116.037
28006 Alcobendas;Total;2017;114.864
28006 Alcobendas;Total;2016;113.340
28006 Alcobendas;Total;2015;113.055
28007 Alcorcón;Total;2024;173.625
28007 Alcorcón;Total;2023;171.772
28007 Alcorcón;Total;2022;170.296
28007 Alcorcón;Total;2021;170.817
28007 Alcorcón;Total;2020;172.384
28007 Alcorcón;Total;2019;170.514
28007 Alcorcón;Total;2018;169.502
28007 Alcorcón;Total;2017;168.141
28007 Alcorcón;Total;2016;167.354
28007 Alcorcón;Total;2015;167.136
28008 Aldea del Fresno;Total;2024;3.422
28008 Aldea del Fresno;Total;2023;3.408
28008 Aldea del Fresno;Total;2022;3.227
28008 Aldea del Fresno;Total;2021;3.085
28008 Aldea del Fresno;Total;2020;2.973
28008 Aldea del Fresno;Total;2019;2.838
28008 Aldea del Fresno;Total;2018;2.698
28008 Aldea del Fresno;Total;2017;2.616
28008 Aldea del Fresno;Total;2016;2.584
28008 Aldea del Fresno;Total;2015;2.535
28009 Algete;Total;2024;21.167
28009 Algete;Total;2023;20.991
28009 Algete;Total;2022;20.767
28009 Algete;Total;2021;20.749
28009 Algete;Total;2020;20.864
28009 Algete;Total;2019;20.611
28009 Algete;Total;2018;20.473
28009 Algete;Total;2017;20.419
28009 Algete;Total;2016;20.311
28009 Algete;Total;2015;20.148
28010 Alpedrete;Total;2024;15.543
28010 Alpedrete;Total;2023;15.312
28010 Alpedrete;Total;2022;15.006
28010 Alpedrete;Total;2021;14.959
28010 Alpedrete;Total;2020;14.839
28010 Alpedrete;Total;2019;14.575
28010 Alpedrete;Total;2018;14.364
28010 Alpedrete;Total;2017;14.240
28010 Alpedrete;Total;2016;14.417
28010 Alpedrete;Total;2015;14.248
28011 Ambite;Total;2024;697
28011 Ambite;Total;2023;684
28011 Ambite;Total;2022;648
28011 Ambite;Total;2021;662
28011 Ambite;Total;2020;609
28011 Ambite;Total;2019;592
28011 Ambite;Total;2018;601
28011 Ambite;Total;2017;677
28011 Ambite;Total;2016;595
28011 Ambite;Total;2015;618
28012 Anchuelo;Total;2024;1.392
28012 Anchuelo;Total;2023;1.379
28012 Anchuelo;Total;2022;1.354
28012 Anchuelo;Total;2021;1.359
28012 Anchuelo;Total;2020;1.286
28012 Anchuelo;Total;2019;1.271
28012 Anchuelo;Total;2018;1.272
28012 Anchuelo;Total;2017;1.238
28012 Anchuelo;Total;2016;1.215
28012 Anchuelo;Total;2015;1.200
28013 Aranjuez;Total;2024;62.292
28013 Aranjuez;Total;2023;60.668
28013 Aranjuez;Total;2022;59.762
28013 Aranjuez;Total;2021;59.833
28013 Aranjuez;Total;2020;60.332
28013 Aranjuez;Total;2019;59.607
28013 Aranjuez;Total;2018;59.037
28013 Aranjuez;Total;2017;58.213
28013 Aranjuez;Total;2016;57.932
28013 Aranjuez;Total;2015;58.168
28014 Arganda del Rey;Total;2024;59.513
28014 Arganda del Rey;Total;2023;58.990
28014 Arganda del Rey;Total;2022;57.553
28014 Arganda del Rey;Total;2021;56.386
28014 Arganda del Rey;Total;2020;56.678
28014 Arganda del Rey;Total;2019;55.389
28014 Arganda del Rey;Total;2018;54.554
28014 Arganda del Rey;Total;2017;53.821
28014 Arganda del Rey;Total;2016;54.256
28014 Arganda del Rey;Total;2015;54.533
28015 Arroyomolinos;Total;2024;37.208
28015 Arroyomolinos;Total;2023;35.972
28015 Arroyomolinos;Total;2022;34.833
28015 Arroyomolinos;Total;2021;33.687
28015 Arroyomolinos;Total;2020;32.935
28015 Arroyomolinos;Total;2019;31.396
28015 Arroyomolinos;Total;2018;30.052
28015 Arroyomolinos;Total;2017;29.128
28015 Arroyomolinos;Total;2016;28.177
28015 Arroyomolinos;Total;2015;26.846
28016 Atazar, El;Total;2024;107
28016 Atazar, El;Total;2023;104
28016 Atazar, El;Total;2022;107
28016 Atazar, El;Total;2021;109
28016 Atazar, El;Total;2020;90
28016 Atazar, El;Total;2019;89
28016 Atazar, El;Total;2018;93
28016 Atazar, El;Total;2017;97
28016 Atazar, El;Total;2016;95
28016 Atazar, El;Total;2015;96
28017 Batres;Total;2024;1.943
28017 Batres;Total;2023;1.872
28017 Batres;Total;2022;1.823
28017 Batres;Total;2021;1.820
28017 Batres;Total;2020;1.750
28017 Batres;Total;2019;1.684
28017 Batres;Total;2018;1.638
28017 Batres;Total;2017;1.610
28017 Batres;Total;2016;1.582
28017 Batres;Total;2015;1.568
28018 Becerril de la Sierra;Total;2024;6.573
28018 Becerril de la Sierra;Total;2023;6.277
28018 Becerril de la Sierra;Total;2022;6.197
28018 Becerril de la Sierra;Total;2021;6.108
28018 Becerril de la Sierra;Total;2020;5.875
28018 Becerril de la Sierra;Total;2019;5.714
28018 Becerril de la Sierra;Total;2018;5.564
28018 Becerril de la Sierra;Total;2017;5.457
28018 Becerril de la Sierra;Total;2016;5.439
28018 Becerril de la Sierra;Total;2015;5.396
28019 Belmonte de Tajo;Total;2024;1.917
28019 Belmonte de Tajo;Total;2023;1.840
28019 Belmonte de Tajo;Total;2022;1.769
28019 Belmonte de Tajo;Total;2021;1.751
28019 Belmonte de Tajo;Total;2020;1.683
28019 Belmonte de Tajo;Total;2019;1.664
28019 Belmonte de Tajo;Total;2018;1.627
28019 Belmonte de Tajo;Total;2017;1.628
28019 Belmonte de Tajo;Total;2016;1.605
28019 Belmonte de Tajo;Total;2015;1.625
28021 Berrueco, El;Total;2024;816
28021 Berrueco, El;Total;2023;802
28021 Berrueco, El;Total;2022;801
28021 Berrueco, El;Total;2021;796
28021 Berrueco, El;Total;2020;777
28021 Berrueco, El;Total;2019;760
28021 Berrueco, El;Total;2018;741
28021 Berrueco, El;Total;2017;743
28021 Berrueco, El;Total;2016;752
28021 Berrueco, El;Total;2015;618
28020 Berzosa del Lozoya;Total;2024;231
28020 Berzosa del Lozoya;Total;2023;217
28020 Berzosa del Lozoya;Total;2022;227
28020 Berzosa del Lozoya;Total;2021;216
28020 Berzosa del Lozoya;Total;2020;222
28020 Berzosa del Lozoya;Total;2019;205
28020 Berzosa del Lozoya;Total;2018;198
28020 Berzosa del Lozoya;Total;2017;203
28020 Berzosa del Lozoya;Total;2016;198
28020 Berzosa del Lozoya;Total;2015;202
28022 Boadilla del Monte;Total;2024;65.839
28022 Boadilla del Monte;Total;2023;64.742
28022 Boadilla del Monte;Total;2022;62.627
28022 Boadilla del Monte;Total;2021;59.052
28022 Boadilla del Monte;Total;2020;56.734
28022 Boadilla del Monte;Total;2019;54.570
28022 Boadilla del Monte;Total;2018;52.626
28022 Boadilla del Monte;Total;2017;51.463
28022 Boadilla del Monte;Total;2016;49.762
28022 Boadilla del Monte;Total;2015;48.775
28023 Boalo, El;Total;2024;8.547
28023 Boalo, El;Total;2023;8.424
28023 Boalo, El;Total;2022;8.216
28023 Boalo, El;Total;2021;8.009
