Municipios de 500 habitantes o más;Sexo;Edad;Nivel de estudios;Periodo;Total
28002 Ajalvir;Total;15 y más años;Educación primaria e inferior;2024;399
28002 Ajalvir;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;817
28002 Ajalvir;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.250
28002 Ajalvir;Total;15 y más años;Educación superior;2024;1.829
28004 Álamo, El;Total;15 y más años;Educación primaria e inferior;2024;1.304
28004 Álamo, El;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.415
28004 Álamo, El;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.424
28004 Álamo, El;Total;15 y más años;Educación superior;2024;2.649
28005 Alcalá de Henares;Total;15 y más años;Educación primaria e inferior;2024;21.318
28005 Alcalá de Henares;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;50.031
28005 Alcalá de Henares;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;41.482
28005 Alcalá de Henares;Total;15 y más años;Educación superior;2024;61.039
28006 Alcobendas;Total;15 y más años;Educación primaria e inferior;2024;10.415
28006 Alcobendas;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;21.798
28006 Alcobendas;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;24.605
28006 Alcobendas;Total;15 y más años;Educación superior;2024;46.242
28007 Alcorcón;Total;15 y más años;Educación primaria e inferior;2024;20.011
28007 Alcorcón;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;40.279
28007 Alcorcón;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;32.777
28007 Alcorcón;Total;15 y más años;Educación superior;2024;59.185
28008 Aldea del Fresno;Total;15 y más años;Educación primaria e inferior;2024;463
28008 Aldea del Fresno;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;985
28008 Aldea del Fresno;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;747
28008 Aldea del Fresno;Total;15 y más años;Educación superior;2024;698
28009 Algete;Total;15 y más años;Educación primaria e inferior;2024;1.536
28009 Algete;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;4.311
28009 Algete;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;4.607
28009 Algete;Total;15 y más años;Educación superior;2024;7.407
28010 Alpedrete;Total;15 y más años;Educación primaria e inferior;2024;902
28010 Alpedrete;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.560
28010 Alpedrete;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.741
28010 Alpedrete;Total;15 y más años;Educación superior;2024;7.258
28011 Ambite;Total;15 y más años;Educación primaria e inferior;2024;102
28011 Ambite;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;181
28011 Ambite;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;170
28011 Ambite;Total;15 y más años;Educación superior;2024;160
28012 Anchuelo;Total;15 y más años;Educación primaria e inferior;2024;116
28012 Anchuelo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;414
28012 Anchuelo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;259
