Municipios entre 50 y 500 habitantes;Sexo;Nivel de estudios;Periodo;Total
28001 Acebeda, La;Total;Educación primaria e inferior;2024;11
28001 Acebeda, La;Total;Primera etapa de Educación Secundaria y similar;2024;10
28001 Acebeda, La;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;22
28001 Acebeda, La;Total;Educación superior;2024;22
28003 Alameda del Valle;Total;Educación primaria e inferior;2024;10
28003 Alameda del Valle;Total;Primera etapa de Educación Secundaria y similar;2024;44
28003 Alameda del Valle;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;53
28003 Alameda del Valle;Total;Educación superior;2024;117
28016 Atazar, El;Total;Educación primaria e inferior;2024;19
28016 Atazar, El;Total;Primera etapa de Educación Secundaria y similar;2024;24
28016 Atazar, El;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;21
28016 Atazar, El;Total;Educación superior;2024;34
28020 Berzosa del Lozoya;Total;Educación primaria e inferior;2024;58
28020 Berzosa del Lozoya;Total;Primera etapa de Educación Secundaria y similar;2024;52
28020 Berzosa del Lozoya;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;39
28020 Berzosa del Lozoya;Total;Educación superior;2024;67
28024 Braojos;Total;Educación primaria e inferior;2024;28
28024 Braojos;Total;Primera etapa de Educación Secundaria y similar;2024;46
28024 Braojos;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;49
28024 Braojos;Total;Educación superior;2024;80
28034 Canencia;Total;Educación primaria e inferior;2024;77
28034 Canencia;Total;Primera etapa de Educación Secundaria y similar;2024;112
28034 Canencia;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;105
28034 Canencia;Total;Educación superior;2024;137
28039 Cervera de Buitrago;Total;Educación primaria e inferior;2024;28
28039 Cervera de Buitrago;Total;Primera etapa de Educación Secundaria y similar;2024;48
28039 Cervera de Buitrago;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;40
28039 Cervera de Buitrago;Total;Educación superior;2024;34
28062 Garganta de los Montes;Total;Educación primaria e inferior;2024;36
28062 Garganta de los Montes;Total;Primera etapa de Educación Secundaria y similar;2024;98
28062 Garganta de los Montes;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;87
28062 Garganta de los Montes;Total;Educación superior;2024;163
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;Educación primaria e inferior;2024;42
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;Primera etapa de Educación Secundaria y similar;2024;94
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;89
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;Educación superior;2024;134
28064 Gascones;Total;Educación primaria e inferior;2024;17
28064 Gascones;Total;Primera etapa de Educación Secundaria y similar;2024;44
28064 Gascones;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;60
28064 Gascones;Total;Educación superior;2024;77
28069 Hiruela, La;Total;Educación primaria e inferior;2024;6
28069 Hiruela, La;Total;Primera etapa de Educación Secundaria y similar;2024;12
28069 Hiruela, La;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;13
28069 Hiruela, La;Total;Educación superior;2024;45
28070 Horcajo de la Sierra-Aoslos;Total;Educación primaria e inferior;2024;27
28070 Horcajo de la Sierra-Aoslos;Total;Primera etapa de Educación Secundaria y similar;2024;43
28070 Horcajo de la Sierra-Aoslos;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;52
28070 Horcajo de la Sierra-Aoslos;Total;Educación superior;2024;80
28071 Horcajuelo de la Sierra;Total;Educación primaria e inferior;2024;16
28071 Horcajuelo de la Sierra;Total;Primera etapa de Educación Secundaria y similar;2024;21
28071 Horcajuelo de la Sierra;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;29
28071 Horcajuelo de la Sierra;Total;Educación superior;2024;34
28078 Madarcos;Total;Educación primaria e inferior;2024;9
28078 Madarcos;Total;Primera etapa de Educación Secundaria y similar;2024;16
28078 Madarcos;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;13
28078 Madarcos;Total;Educación superior;2024;26
28088 Montejo de la Sierra;Total;Educación primaria e inferior;2024;52
28088 Montejo de la Sierra;Total;Primera etapa de Educación Secundaria y similar;2024;74
28088 Montejo de la Sierra;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;95
28088 Montejo de la Sierra;Total;Educación superior;2024;128
28097 Navarredonda y San Mamés;Total;Educación primaria e inferior;2024;21
28097 Navarredonda y San Mamés;Total;Primera etapa de Educación Secundaria y similar;2024;35
28097 Navarredonda y San Mamés;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;31
28097 Navarredonda y San Mamés;Total;Educación superior;2024;57
28101 Olmeda de las Fuentes;Total;Educación primaria e inferior;2024;36
28101 Olmeda de las Fuentes;Total;Primera etapa de Educación Secundaria y similar;2024;66
28101 Olmeda de las Fuentes;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;70
28101 Olmeda de las Fuentes;Total;Educación superior;2024;173
28112 Pinilla del Valle;Total;Educación primaria e inferior;2024;15
28112 Pinilla del Valle;Total;Primera etapa de Educación Secundaria y similar;2024;49
28112 Pinilla del Valle;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;42
28112 Pinilla del Valle;Total;Educación superior;2024;78
28114 Piñuécar-Gandullas;Total;Educación primaria e inferior;2024;17
28114 Piñuécar-Gandullas;Total;Primera etapa de Educación Secundaria y similar;2024;40
28114 Piñuécar-Gandullas;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;45
28114 Piñuécar-Gandullas;Total;Educación superior;2024;62
28117 Prádena del Rincón;Total;Educación primaria e inferior;2024;15
28117 Prádena del Rincón;Total;Primera etapa de Educación Secundaria y similar;2024;31
28117 Prádena del Rincón;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;26
28117 Prádena del Rincón;Total;Educación superior;2024;54
28118 Puebla de la Sierra;Total;Educación primaria e inferior;2024;10
28118 Puebla de la Sierra;Total;Primera etapa de Educación Secundaria y similar;2024;24
28118 Puebla de la Sierra;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;15
28118 Puebla de la Sierra;Total;Educación superior;2024;41
28121 Redueña;Total;Educación primaria e inferior;2024;38
28121 Redueña;Total;Primera etapa de Educación Secundaria y similar;2024;53
28121 Redueña;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;76
28121 Redueña;Total;Educación superior;2024;95
28124 Robledillo de la Jara;Total;Educación primaria e inferior;2024;21
28124 Robledillo de la Jara;Total;Primera etapa de Educación Secundaria y similar;2024;27
28124 Robledillo de la Jara;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;22
28124 Robledillo de la Jara;Total;Educación superior;2024;47
28126 Robregordo;Total;Educación primaria e inferior;2024;11
28126 Robregordo;Total;Primera etapa de Educación Secundaria y similar;2024;18
28126 Robregordo;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;20
28126 Robregordo;Total;Educación superior;2024;17
28138 Serna del Monte, La;Total;Educación primaria e inferior;2024;3
28138 Serna del Monte, La;Total;Primera etapa de Educación Secundaria y similar;2024;35
28138 Serna del Monte, La;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;27
28138 Serna del Monte, La;Total;Educación superior;2024;25
28143 Somosierra;Total;Educación primaria e inferior;2024;13
28143 Somosierra;Total;Primera etapa de Educación Secundaria y similar;2024;24
28143 Somosierra;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;26
28143 Somosierra;Total;Educación superior;2024;30
28182 Villavieja del Lozoya;Total;Educación primaria e inferior;2024;29
28182 Villavieja del Lozoya;Total;Primera etapa de Educación Secundaria y similar;2024;56
28182 Villavieja del Lozoya;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;84
28182 Villavieja del Lozoya;Total;Educación superior;2024;117
