"municipio","codigo_ine_5","pob_2015","pob_2024","tasa_crec_pob","tendencia_pob","volatilidad_pob","tasa_crec_empresas","tasa_crec_ocupados","tasa_crec_neto_medio","renta_2015","renta_2023","tasa_crec_renta","tendencia_renta","volatilidad_renta"
"Acebeda (La)","28001",65,68,4.62,-0.19393939393939,14.99,-43.33,-47.37,-5.16,NA,1358164,NA,133871.2,173875.328228782
"Ajalvir","28002",4343,4863,11.97,53.8969696969692,1.33,0.31,36.89,0.67,61884557,89374695,44.42,3328995.13333333,9355631.46811538
"Alameda del Valle","28003",217,255,17.51,7.09696969696961,9.17,15.15,118.87,1.18,3514860,5349120,52.19,266266.4,756714.330465838
"Alcalá de Henares","28005",198750,200702,0.98,375.775757575759,0.96,7.82,25.56,0.96,2594727472,3747942360,44.44,141898071.333333,396833744.293006
"Alcobendas","28006",113055,121373,7.36,795.830303030297,1.04,8.81,24.42,1.05,2540344176,3545318224,39.56,98996821.1166667,310479291.253872
"Alcorcón","28007",167136,173625,3.88,641.921212121206,0.68,8.64,25.64,0.94,2365575696,3287673480,38.98,110641004.8,310269681.95895
"Aldea del Fresno","28008",2535,3422,34.99,109.70909090909,1.85,36.27,37.5,3.25,25582464,49222914,92.41,2973307.58333333,8311072.56281008
"Algete","28009",20148,21167,5.06,101.527272727272,0.55,5.48,22.59,0.7,341716995,488356789,42.91,17433410.4,48413007.4611471
"Alpedrete","28010",14248,15543,9.09,144.236363636363,0.98,14.81,39.04,1.68,228442939,346757480,51.79,14376764.3,40249556.0344921
"Ambite","28011",618,697,12.78,8.41818181818174,7.35,36.96,-0.68,3.77,6334672,10427375,64.61,542944.066666666,1550007.39384538
"Anchuelo","28012",1200,1392,16,22.6181818181817,1.78,10,57.6,0.95,15002820,22768450,51.76,942344.45,2612820.44169897
"Aranjuez","28013",58168,62292,7.09,406.824242424242,1.1,5.93,16.56,0.71,724058457,1056191019,45.87,40347898.0333333,113308124.424312
"Arganda del Rey","28014",54533,59513,9.13,626.684848484842,1.29,12.66,28.05,1.42,608866307,982496846,61.36,44694557.5833333,124735812.752244
"Arroyomolinos","28015",26846,37208,38.6,1144.19393939393,0.89,39.7,46.1,4.13,426701887,819675332,92.1,47891670.1666666,133506285.361754
"Atazar (El)","28016",96,107,11.46,1.58181818181817,7.81,-46.15,108.57,-4.35,NA,1771278,NA,4896.5,50916.2502047889
"Batres","28017",1568,1943,23.92,42.9212121212118,1.38,51.46,55.07,5.86,21380277,39470192,84.61,2133156.28333333,5941332.32518395
"Becerril de la Sierra","28018",5396,6573,21.81,133.042424242423,1.46,14.47,20.89,1.42,83447016,137902268,65.26,6748593.38333333,18794821.1882266
"Belmonte de Tajo","28019",1625,1917,17.97,32.5393939393937,1.92,2.8,6.27,0.23,17274224,29247732,69.31,1431249.05,4048226.00722634
"Berrueco (El)","28021",618,816,32.04,15.7818181818182,7.01,41.82,28.37,3.44,7743006,14021460,81.09,784877,2215426.79564909
"Berzosa del Lozoya","28020",202,231,14.36,3.54545454545451,4.6,7.14,24.76,3.11,2320968,3911166,68.51,179185.783333333,523985.721916664
"Boadilla del Monte","28022",48775,65839,34.99,2034.53333333332,1.32,27.11,65,2.85,1246069953,2391477774,91.92,140258487.183333,391193404.725073
"Boalo (El)","28023",7157,8547,19.42,164.71515151515,1.16,24.04,39.62,2.09,112097625,192125880,71.39,9835054.21666667,27516381.9544506
