"","municipio","poblacion_total.x","% hombres","% mujeres","% extranjeros","% nacionales","% bebes","% niños","% adolescentes","% jovenes","% adultos","% mayores","% ancianos","codigo_ine","superficie_km2","% primaria_inferior","% secundaria_1","% secundaria_post","% superior","tasa_paro","empresas_hab","vivienda_hab","% hogares_1p","% hogares_2p","% hogares_3p","% hogares_4p","% hogares_5p_mas","hogares_hab","renta_bruta_hab","ciudad_dormitorio","dist_capital_km","dist_hosp_cercano_km"
"1","Acebeda (La)",70,55.71,44.29,7.14,92.86,0,4.29,0,4.29,18.57,60,12.86,280014,21.86,16.18,14.71,32.35,32.35,9.67741935483871,0.25,2.74,48.15,25.93,22.22,3.7,0,0.49,20271.1,0,69.9218999253492,51.7684371290067
"2","Ajalvir",5007,51.91,48.09,17.58,82.42,3.56,9.79,6.11,11.72,32.83,32.85,3.14,280029,19.8,8.07,16.52,25.27,36.98,4.72,0.2,0.39,21.79,25.78,22.04,20.98,9.4,0.34,18333.27,0,19.4495910037799,6.20485549963922
"3","Alameda del Valle",267,56.18,43.82,22.1,77.9,2.62,10.49,4.49,7.87,23.22,44.57,6.74,280035,25.7,3.91,17.19,20.7,45.7,9.82658959537572,0.15,1.71,55.28,21.95,9.76,9.76,3.25,0.5,19451.35,0,52.119323892672,25.4277571188466
"4","Alcalá de Henares",202549,48.22,51.78,17.86,82.14,3.65,9.05,5.78,11.43,27.86,36.75,5.47,280053,88.11,10.67,25.04,20.76,30.55,7.39866454877044,0.08,0.41,21.15,29.36,22.93,19.09,7.47,0.37,18895.79,0,27.8421273094797,0
"5","Alcobendas",123222,47.69,52.31,17.3,82.7,3.64,11.07,6.11,11.89,28.3,34.15,4.83,280066,45.24,8.58,17.95,20.26,38.08,4.85450913379383,0.13,0.36,18.55,26.64,21.81,20.4,12.6,0.34,29675.14,0,9.55178710744002,5.19902069475479
"6","Alcorcón",176806,47.93,52.07,13.17,86.83,3.14,9.3,5.57,10.79,26.46,37.11,7.63,280072,33.57,11.45,23.05,18.76,33.87,6.43663542283703,0.08,0.41,23.03,29.99,21.68,18.43,6.86,0.38,19020.93,0,16.877479049098,0
"7","Aldea del Fresno",3534,50.91,49.09,17.83,82.17,4.67,10.58,5.97,8.52,29.4,34.13,6.73,280088,51.66,13.53,28.78,21.83,20.4,8.95915678524374,0.08,0.65,28.09,26.89,19.32,17.11,8.6,0.38,14443.34,0,47.9249295294994,7.96651253894082
"8","Algete",21194,48.9,51.1,12.33,87.67,3.79,11.26,6.96,12.94,25.38,35.74,3.94,280091,38.01,7.27,20.4,21.8,35.05,5.17805976258698,0.12,0.35,14.44,23.98,24.8,23.14,13.64,0.32,23326.17,0,21.2022389741713,6.92323968001244
"9","Alpedrete",15831,48.97,51.03,10.74,89.26,2.98,10.33,7.48,12.37,24.6,37.26,4.98,280105,12.66,5.76,16.35,17.51,46.36,5.31358112303735,0.1,0.46,21.09,24.5,21.67,23.03,9.72,0.35,22440.94,0,34.9801775345977,3.51065488223926
"10","Ambite",736,50.27,49.73,24.05,75.95,3.26,8.56,4.35,8.15,27.58,39.95,8.15,280112,51.6,14.55,25.82,24.25,22.82,9.03614457831325,0.09,1.2,37.63,28.57,18.12,9.41,6.27,0.43,15112.14,0,46.1357543347761,23.3627393800671
"11","Anchuelo",1413,51.59,48.41,9.62,90.38,4.46,13.38,6.09,8.85,32.13,31.42,3.68,280127,21.59,8.33,29.72,18.59,24.91,7.21868365180467,0.08,0.47,23.09,29.96,22.9,16.22,7.82,0.38,16510.84,0,35.5184923678999,8.46162947856965
